Sample_Name	Image_Name	Morphant	Treatment	Location	X_coord	Y_coord
ConMO_TCDD_01	72hpf_1ngTCDD_ConMO_01	ConMO	TCDD	D	185	-42
ConMO_TCDD_02	72hpf_1ngTCDD_ConMO_03	ConMO	TCDD	A	-104	94
ConMO_TCDD_02	72hpf_1ngTCDD_ConMO_03	ConMO	TCDD	B	105	86
ConMO_TCDD_02	72hpf_1ngTCDD_ConMO_03	ConMO	TCDD	C	-164	-50
ConMO_TCDD_02	72hpf_1ngTCDD_ConMO_03	ConMO	TCDD	D	161	-61
ConMO_TCDD_03	72hpf_1ngTCDD_ConMO_05	ConMO	TCDD	A	-111	144
ConMO_TCDD_03	72hpf_1ngTCDD_ConMO_05	ConMO	TCDD	B	106	127
ConMO_TCDD_03	72hpf_1ngTCDD_ConMO_05	ConMO	TCDD	C	-202	-43
ConMO_TCDD_03	72hpf_1ngTCDD_ConMO_05	ConMO	TCDD	D	183	-80
ConMO_TCDD_04	72hpf_1ngTCDD_ConMO_08	ConMO	TCDD	A	-99	121
ConMO_TCDD_04	72hpf_1ngTCDD_ConMO_08	ConMO	TCDD	B	95	108
ConMO_TCDD_04	72hpf_1ngTCDD_ConMO_08	ConMO	TCDD	C	-191	-86
ConMO_TCDD_04	72hpf_1ngTCDD_ConMO_08	ConMO	TCDD	D	175	-99
ConMO_TCDD_05	72hpf_1ngTCDD_ConMO_09	ConMO	TCDD	A	-97	91
ConMO_TCDD_05	72hpf_1ngTCDD_ConMO_09	ConMO	TCDD	B	105	97
ConMO_TCDD_05	72hpf_1ngTCDD_ConMO_09	ConMO	TCDD	C	-179	-118
ConMO_TCDD_05	72hpf_1ngTCDD_ConMO_09	ConMO	TCDD	D	193	-103
ConMO_TCDD_06	72hpf_1ngTCDD_ConMO_12	ConMO	TCDD	A	-112	118
ConMO_TCDD_06	72hpf_1ngTCDD_ConMO_12	ConMO	TCDD	B	114	116
ConMO_TCDD_06	72hpf_1ngTCDD_ConMO_12	ConMO	TCDD	C	-175	-71
ConMO_TCDD_06	72hpf_1ngTCDD_ConMO_12	ConMO	TCDD	D	180	-84
ConMO_TCDD_07	72hpf_1ngTCDD_ConMO_15	ConMO	TCDD	A	-105	91
ConMO_TCDD_07	72hpf_1ngTCDD_ConMO_15	ConMO	TCDD	B	121	101
ConMO_TCDD_07	72hpf_1ngTCDD_ConMO_15	ConMO	TCDD	C	-182	-101
ConMO_TCDD_07	72hpf_1ngTCDD_ConMO_15	ConMO	TCDD	D	194	-110
ConMO_TCDD_08	72hpf_1ngTCDD_ConMO_17	ConMO	TCDD	A	-114	112
ConMO_TCDD_08	72hpf_1ngTCDD_ConMO_17	ConMO	TCDD	B	108	99
ConMO_TCDD_08	72hpf_1ngTCDD_ConMO_17	ConMO	TCDD	C	-192	-97
ConMO_TCDD_08	72hpf_1ngTCDD_ConMO_17	ConMO	TCDD	D	209	-108
ConMO_TCDD_09	72hpf_1ngTCDD_ConMO_18	ConMO	TCDD	A	-112	92
ConMO_TCDD_09	72hpf_1ngTCDD_ConMO_18	ConMO	TCDD	B	116	90
ConMO_TCDD_09	72hpf_1ngTCDD_ConMO_18	ConMO	TCDD	C	-183	-110
ConMO_TCDD_09	72hpf_1ngTCDD_ConMO_18	ConMO	TCDD	D	196	-88
ConMO_TCDD_10	72hpf_1ngTCDD_ConMO_19	ConMO	TCDD	A	-118	114
ConMO_TCDD_10	72hpf_1ngTCDD_ConMO_19	ConMO	TCDD	B	110	101
ConMO_TCDD_10	72hpf_1ngTCDD_ConMO_19	ConMO	TCDD	C	-211	-79
ConMO_TCDD_10	72hpf_1ngTCDD_ConMO_19	ConMO	TCDD	D	177	-105
SlincRMO_TCDD_1	72hpf_1ngTCDD_slincRMO_01	SlincR_MO	TCDD	A	-108	133
SlincRMO_TCDD_1	72hpf_1ngTCDD_slincRMO_01	SlincR_MO	TCDD	B	103	137
SlincRMO_TCDD_1	72hpf_1ngTCDD_slincRMO_01	SlincR_MO	TCDD	C	-188	-71
SlincRMO_TCDD_1	72hpf_1ngTCDD_slincRMO_01	SlincR_MO	TCDD	D	187	-63
SlincRMO_TCDD_2	72hpf_1ngTCDD_slincRMO_03	SlincR_MO	TCDD	A	-103	124
SlincRMO_TCDD_2	72hpf_1ngTCDD_slincRMO_03	SlincR_MO	TCDD	B	103	127
SlincRMO_TCDD_2	72hpf_1ngTCDD_slincRMO_03	SlincR_MO	TCDD	C	-187	-78
